time/time_elapsed,time/total_timesteps,experiment_details/batch_size,experiment_details/timestamp,time/fps,time/iterations,experiment_details/n_steps,experiment_details/learning_rate,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
103,1024,64,"2024-12-01_21-25-05",9,1,1024,0.0003,,,,,,,,,,,,,,
206,2048,,,9,2,,,0.012308107,0.005817455778014846,0.0505859375,10,-1.6021514020860195,0.0003,-0.004134127747965977,-0.03713236004114151,0.2,-1.3813681602478027,,,,
310,3072,,,9,3,,,0.012837473,0.00012652255397824775,0.12197265625,20,-1.5756702996790408,0.0003,-0.00876885281468276,-0.029449710622429848,0.2,-1.9582750797271729,0.0,2500.0,,
413,4096,,,9,4,,,0.018183455,6.194966015300451e-05,0.11044921875,30,-1.5319581940770148,0.0003,-0.008232475488330237,0.01722712069749832,0.2,-3.6199488639831543,0.0,2500.0,,
518,5120,,,9,5,,,0.012125714,6.526286880159659e-06,0.0853515625,40,-1.5388890005648137,0.0003,-0.005393280106363818,-0.015643557533621788,0.2,-2.7722067832946777,0.0,2500.0,,
623,6144,,,9,6,,,0.011537952,7.473866106977312e-06,0.11142578125,50,-1.5241750478744507,0.0003,-0.007079616913688369,-0.026108751073479652,0.2,-1.5905888080596924,0.0,2500.0,,
728,7168,,,9,7,,,0.016206216,2.0553998346883874e-06,0.13583984375,60,-1.521133793145418,0.0003,-0.010714449905208312,-0.009718191809952259,0.2,-0.8671572208404541,0.0,2500.0,,
834,8192,,,9,8,,,0.0019006203,1.4849594919041919e-06,0.0189453125,70,-1.5065723948180676,0.0003,-0.0009392390289576724,0.01493482943624258,0.2,-0.8558515310287476,0.0,2500.0,,
939,9216,,,9,9,,,0.016880207,9.402668062818975e-07,0.11748046875,80,-1.5461678884923458,0.0003,-0.008001568095642142,-0.019405202940106392,0.2,-0.9320038557052612,0.0,2500.0,,
,10000,,,,,,,0.009295086,5.233916516189651e-07,0.08828125,90,-1.5571732953190804,0.0003,-0.007472108385991305,-0.026420535519719124,0.2,-0.1590515375137329,,,0.0,2500.0
2306,10240,,,4,10,,,,,,,,,,,,,0.0,2500.0,,
2410,11264,,,4,11,,,0.01671644,5.411648684727766e-07,0.11201171875,100,-1.5656540401279926,0.0003,-0.009110912604955956,0.007051063701510429,0.2,-1.8002917766571045,0.0,2500.0,,
2514,12288,,,4,12,,,0.011758042,4.655056276448022e-07,0.04384765625,110,-1.5581181794404984,0.0003,-0.0030681165429996327,-0.0065969605930149555,0.2,-1.615302562713623,0.0,2500.0,,
2618,13312,,,5,13,,,0.0140315285,4.977863357957802e-07,0.0947265625,120,-1.5321670293807983,0.0003,-0.006521319874445907,-0.035037390887737274,0.2,-0.24357163906097412,0.0,2500.0,,
2723,14336,,,5,14,,,0.014568694,4.0155118488094386e-07,0.13857421875,130,-1.499357995390892,0.0003,-0.010968764632707462,-0.023706261068582535,0.2,0.26053380966186523,0.0,2500.0,,
2828,15360,,,5,15,,,0.012883926,6.809414310371409e-06,0.06259765625,140,-1.457289283722639,0.0003,-0.0045627137165865864,0.009796501137316227,0.2,-1.0964751243591309,0.0,2500.0,,
2933,16384,,,5,16,,,0.0057650036,3.1938051185953498e-06,0.01494140625,150,-1.4620196580886842,0.0003,-0.0006300286942860112,0.009609184227883816,0.2,-1.0875189304351807,0.0,2500.0,,
3039,17408,,,5,17,,,0.011055653,1.43296654488978e-06,0.08583984375,160,-1.4150456316769122,0.0003,-0.0060214469791390005,-0.01664387434720993,0.2,-0.6499462127685547,0.0,2500.0,,
3145,18432,,,5,18,,,0.017466953,3.845694089887886e-06,0.1287109375,170,-1.420297024399042,0.0003,-0.008803588664159178,-0.04588240012526512,0.2,-0.2682530879974365,0.0,2500.0,,
3250,19456,,,5,19,,,0.008173025,2.394171578168347e-05,0.0796875,180,-1.3830422662198543,0.0003,-0.005481602228246629,-0.022859307006001472,0.2,-0.9120528697967529,0.0,2500.0,,
,20000,,,,,,,0.009115777,2.613204151291626e-06,0.07119140625,190,-1.3909534998238087,0.0003,-0.0054534741269890216,-0.003171599702909589,0.2,-1.091714859008789,,,0.0,2500.0
4619,20480,,,4,20,,,,,,,,,,,,,0.01457,2494.25,,
4723,21504,,,4,21,,,0.012420875,0.00017739577749651403,0.13798828125,200,-1.4018632628023624,0.0003,-0.0077951846353244035,-0.037102509289979935,0.2,-0.004564046859741211,0.01457,2494.25,,
4827,22528,,,4,22,,,0.016537812,9.044424469806244e-07,0.13056640625,210,-1.3841811738908292,0.0003,-0.0100985964294523,-0.01656714640557766,0.2,-1.0367357730865479,0.012951111111111111,2494.8888888888887,,
4932,23552,,,4,23,,,0.017589534,3.6795809030820694e-07,0.05615234375,220,-1.310772006213665,0.0003,-0.0036506356933386996,-0.003167550778016448,0.2,-0.18086683750152588,0.012951111111111111,2494.8888888888887,,
5037,24576,,,4,24,,,0.016379392,4.3426512297273234e-07,0.1611328125,230,-1.3961587704718113,0.0003,-0.011374454796896315,0.0030698911286890507,0.2,-2.2763760089874268,0.012951111111111111,2494.8888888888887,,
5143,25600,,,4,25,,,0.008776029,8.145060160780204e-08,0.0111328125,240,-1.3648735009133817,0.0003,-0.0005213601980358362,0.015173985622823238,0.2,-0.3254880905151367,0.011656,2495.4,,
5249,26624,,,5,26,,,0.0074572656,1.844514281090781e-07,0.02158203125,250,-1.3506345689296722,0.0003,-0.0011826861795270816,-0.02216896414756775,0.2,-0.32068097591400146,0.011656,2495.4,,
5356,27648,,,5,27,,,0.006575296,2.5853238615480835e-07,0.05517578125,260,-1.3524442926049232,0.0003,-0.004346503151464276,-0.0166100412607193,0.2,-0.780786395072937,0.010596363636363636,2495.818181818182,,
5462,28672,,,5,28,,,0.0193914,9.99749986445586e-06,0.09599609375,270,-1.2433389574289322,0.0003,-0.006445522300782614,0.007187588606029749,0.2,-1.4702703952789307,0.010596363636363636,2495.818181818182,,
5569,29696,,,5,29,,,0.010135013,6.94238090293009e-08,0.1060546875,280,-1.3060197181999684,0.0003,-0.006809950774186291,0.0095220897346735,0.2,-1.5956976413726807,0.010596363636363636,2495.818181818182,,
,30000,,,,,,,0.009667736,1.6128982137653126e-07,0.098828125,290,-1.3713537335395813,0.0003,-0.009014897592714987,-0.009151635691523552,0.2,-0.2393665313720703,,,0.0,2500.0
6935,30720,,,4,30,,,,,,,,,,,,,0.009713333333333333,2496.1666666666665,,
7040,31744,,,4,31,,,0.009221416,8.062843604328407e-06,0.080078125,300,-1.3564952678978444,0.0003,-0.006274834970827215,-0.010853738524019718,0.2,-0.48454761505126953,0.009713333333333333,2496.1666666666665,,
7146,32768,,,4,32,,,0.009425346,1.315236725258906e-05,0.0779296875,310,-1.3761898130178452,0.0003,-0.005955052342324052,-0.0038257716223597527,0.2,-0.8998816013336182,0.008966153846153846,2496.4615384615386,,
7251,33792,,,4,33,,,0.0144512635,7.642292906395731e-06,0.06806640625,320,-1.3844973497092723,0.0003,-0.005412326869554817,0.0025942570064216852,0.2,-0.3423680067062378,0.008966153846153846,2496.4615384615386,,
7357,34816,,,4,34,,,0.018260386,2.7932529427410203e-05,0.10439453125,330,-1.3684747159481048,0.0003,-0.007820107680163346,-0.040009260177612305,0.2,-1.1979548931121826,0.008966153846153846,2496.4615384615386,,
7465,35840,,,4,35,,,0.0110214,8.078115151244348e-08,0.07294921875,340,-1.3375446751713753,0.0003,-0.004249687655828893,0.018774284049868584,0.2,-0.37411439418792725,0.008325714285714285,2496.714285714286,,
7570,36864,,,4,36,,,0.013239928,2.1817009221436477e-08,0.12060546875,350,-1.3526743561029435,0.0003,-0.008914205207838677,0.009565035812556744,0.2,0.4602220058441162,0.008325714285714285,2496.714285714286,,
7676,37888,,,4,37,,,0.013056556,2.8394156584299336e-05,0.099609375,360,-1.3318882502615452,0.0003,-0.006886958400718868,0.017931124195456505,0.2,0.0025415420532226562,0.007770666666666666,2496.9333333333334,,
7782,38912,,,5,38,,,0.0077466313,7.70591648048269e-06,0.04609375,370,-1.302825503051281,0.0003,-0.0016990938238450326,-0.015583558939397335,0.2,0.18057537078857422,0.007770666666666666,2496.9333333333334,,
